"id","title","id_2","title_2"
"774142","HP LQ589AW EliteBook 8560P 15.6 Notebook - Vology","899616","HP (Hewlett-Packard) EliteBook 8560p 15.6 Silver Notebook (2.3 GHz Intel Core I5 2410M, 4 GB DDR3, 500 GB HDD, DVDÂ±RW DL, Radeon HD 6470M, Windows 7 Professional, LED Backlight) Price Comparison at Buy.net"
"67545","HP EliteBook 2170p - 11.6 - Core i5 3437U - Windows 7 Pro 64-bit - 4 GB RAM - 128 GB SSD","849705","HP C7A50UT EliteBook 2170P 11.6 Notebook - Vology"
"560464","Amazon.com : Acer Aspire NX.MG7AA.005;E1-771-6496 17.3-Inch Laptop : Computers & Accessories","1123574","Acer Aspire E1-771-53236G50Mnii 17.3 LED Notebook - Intel Core I5 I5-3230M 2.60 GHz (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net"
"67545","HP EliteBook 2170p - 11.6 - Core i5 3437U - Windows 7 Pro 64-bit - 4 GB RAM - 128 GB SSD","928300","HP B8J91AW EliteBook 2170P 11.6 Notebook - Vology"
"1055899","Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories","1159680","Acer Aspire E1-771-33116G50Mnii - 17.3 - Core i3 3110M - Windows 7 Home Premium 64-bit - 6 GB RAM - 500 GB HDD"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","565684","Amazon.com : Brand New Acer America Corp. Acer Aspire E1-572-34014G50mnkk 15.6 Led Notebook - Intel Core I3 I3-4010U 1.70 Ghz - Black : Computers & Accessories"
"372684","Amazon.com : Acer Aspire V3-572PG-767J 15.6-Inch Touchscreen Laptop (Platinum Silver) : Computers & Accessories","723674","Acer Aspire V3-572-78S3 15.6 Notebook Computer, Intel Core i7-4510U 2GHz, 8GB RAM, 1TB HDD, Windows 8.1, Platinum Silver"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","898641","Acer Aspire E1-572-34014G50Mnkk 15.6 LED Notebook - Intel Core I3 I3-4010U 1.70 GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","944400","Amazon.com : ACER NX.M8EAA.007 / Aspire E1-572-34014G50Mnkk 15.6 LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Black 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 Graphics - Windows 7 Home Premium 64-bit - 1366 x 768 Display - Bluetooth : Computers & Accessories"
"584871","Amazon.com : LB1 High Performance New Acer Black/Silver Aspire E E1-571-6607 15.6 Laptop PC with Intel Core i3-2348M Processor 4GB Memory 500GB Hard Drive and Windows 7 Home Premium 64-Bit High End Professional Audiophile Wireless Bluetooth Mini Speaker with Built-in Microphone - Micro SD card slot - Voice Prompt (Silver) : Computers & Accessories","1170276","Amazon.com : Acer Aspire E1-571-32344G50Mnks 15.6 LED Notebook - Intel Core i3 i3-2348M 2.30 GHz : Laptop Computers : Computers & Accessories"
"163600","AMAZON.COM: INSPIRON LENOVO GAMERS 14E STYLUS LED","708251","Amazon.com: Inspiron Gamers 14E LED"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","1040368","Acer Aspire E1-572-34014G50Mnrr 15.6 LED Notebook - Intel Core I3 I3-4010U 1.70 GHz - Red (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net"
"793360","Amazon.com : Hp 15-Series 15-F009Wm Laptop Amd:E1-2100/E1X2-1.0Glv 4Gb/1-Dimm 500Gb/5400Rpm M : Computers & Accessories","1036472","Amazon.com : 15.6 HP 15-f009wm Amd Dual-Core E1-2100 4GB DDR3 RAM 500GB HD Webcam Windows 8.1 (Certified Refurbished) : Computers & Accessories"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","621640","Amazon.com : ACER Aspire E1-572-34014G50Mnkk 15.6 LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Black 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 Graphics - Windows 7 Home Premium 64-bit - 1366 x 768 Display - Bluetooth / NX.M8EAA.007 / : Computers & Accessories"
"337675","Acer Aspire V3-572PG-767J 15.6 Touchscreen Notebook Computer, Intel Core i7-4510U 2GHz, 8GB RAM, 1TB HDD, Windows 8.1, Platinum Silver","891325","Amazon.com : Acer Aspire V3-572-78S3 15.6-Inch Laptop (Platinum Silver) : Computers & Accessories"
"897123","Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories","1159680","Acer Aspire E1-771-33116G50Mnii - 17.3 - Core i3 3110M - Windows 7 Home Premium 64-bit - 6 GB RAM - 500 GB HDD"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","507080","Amazon.com : Acer Aspire E1-572-34014G50Mnrr 15.6 LED Notebook Intel Core i3-4010U 1.70 GHz 4GB DDR3 500GB HDD DVD-Writer Intel HD Graphics 4400 Windows 7 Home Premium 64-bit Red : Computers & Accessories"
"709355","HP C6Z63UT EliteBook Folio 9470M 14 Ultrabook - Vology","999824","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 32-bit - 4 GB RAM - 320 GB HDD"
"709355","HP C6Z63UT EliteBook Folio 9470M 14 Ultrabook - Vology","977821","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 32-bit - 4 GB RAM - 180 GB SSD"
"843286","Amazon.com : ACER Acer Aspire E1-771-33116G50Mnii - Core i3 3110M / 2.4 GHz - Windows 7 Home Premium 64-bit - 6 GB RAM - 500 GB HDD - DVD SuperMulti - 17.3 CineCrystal wide 1600 x 900 / HD+ - Intel HD Graphics 4000 - iron IMR - keyboard: US International / NX.MG7AA.006 / : Computers & Accessories","897123","Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories"
"843286","Amazon.com : ACER Acer Aspire E1-771-33116G50Mnii - Core i3 3110M / 2.4 GHz - Windows 7 Home Premium 64-bit - 6 GB RAM - 500 GB HDD - DVD SuperMulti - 17.3 CineCrystal wide 1600 x 900 / HD+ - Intel HD Graphics 4000 - iron IMR - keyboard: US International / NX.MG7AA.006 / : Computers & Accessories","1055899","Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","1059233","Acer Aspire E1-572-34014G50Mnrr - 15.6 - Core i3 4010U - Windows 7 Home Premium 64-bit - 4 GB RAM - 500 GB HDD"
"701577","Verbatim Blue Inspiron 7537 X240 printer - Core 4GB Cable ABA on 7 1 Core | on Laptops,Mini Pc - nach","841506","verbatim blue inspiron 7537 printer - core 4gb cable aba on 7 1 core | on laptops,mini pc - nach"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","628213","Acer Aspire E1-572-34014G50Mnkk - 15.6 - Core i3 4010U - Windows 7 Home Premium 64-bit - 4 GB RAM - 500 GB HDD"
"1103267","HP LJ549UT EliteBook 8560P 15.6 Notebook - Vology","1212161","HP XU066UA EliteBook 8560P 15.6 Notebook - Vology"
"219797","HP TouchSmart - 2.5 4gb Computer PC Core 4GB 3GB Very No 8.1 CPU eBay / Repair 8GB Price - - Product -","1079550","HP - 2.5 4GB COMPUTER PC CORE 4GB 3GB VERY NO 8.1 CPU EBAY / REPAIR 8GB PRICE - - PRODUCT -"
"897123","Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories","1001047","Acer Aspire E1-771-33116G50Mnii 17.3 LED Notebook - Intel Core I3 I3-3110M 2.40 GHz (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net"
"1001047","Acer Aspire E1-771-33116G50Mnii 17.3 LED Notebook - Intel Core I3 I3-3110M 2.40 GHz (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net","1055899","Amazon.com : Acer Aspire NX.MG7AA.006;E1-771-6458 17.3-Inch Laptop : Computers & Accessories"
"172216","Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories","443797","Amazon.com : Brand New Acer America Corp. Acer Aspire E1-572-34014G50mnrr 15.6 Led Notebook - Intel Core I3 I3-4010U 1.70 Ghz - Red : Computers & Accessories"
"394970","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD","709355","HP C6Z63UT EliteBook Folio 9470M 14 Ultrabook - Vology"
"694312","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD","728258","HP C6Z61UT EliteBook Folio 9470M 14 Ultrabook - Vology"
"792977","Amazon.com : Hp 15-Series 15-F009Wm Laptop Amd:E1-2100/E1X2-1.0Glv 4Gb/1-Dimm 500Gb/5400Rpm M : Computers & Accessories","1036472","Amazon.com : 15.6 HP 15-f009wm Amd Dual-Core E1-2100 4GB DDR3 RAM 500GB HD Webcam Windows 8.1 (Certified Refurbished) : Computers & Accessories"
"728258","HP C6Z61UT EliteBook Folio 9470M 14 Ultrabook - Vology","999824","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 32-bit - 4 GB RAM - 320 GB HDD"
"728258","HP C6Z61UT EliteBook Folio 9470M 14 Ultrabook - Vology","977821","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 32-bit - 4 GB RAM - 180 GB SSD"
"394970","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD","728258","HP C6Z61UT EliteBook Folio 9470M 14 Ultrabook - Vology"
"343189","Acer Aspire E1-771-53236G50Mnii - 17.3 - Core i5 3230M - Windows 7 Home Premium 64-bit - 6 GB RAM - 500 GB HDD","560464","Amazon.com : Acer Aspire NX.MG7AA.005;E1-771-6496 17.3-Inch Laptop : Computers & Accessories"
"889119","Amazon.com : Acer Aspire E1-771-6603 17.3-Inch Laptop (2.4 GHz Intel Core i3-3110M Processor, 6GB DDR3, 750GB HDD, Windows 8) Steel Gray : Laptop Computers : Computers & Accessories","1001047","Acer Aspire E1-771-33116G50Mnii 17.3 LED Notebook - Intel Core I3 I3-3110M 2.40 GHz (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net"
"694312","HP EliteBook Folio 9470m - 14 - Core i5 3427U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD","709355","HP C6Z63UT EliteBook Folio 9470M 14 Ultrabook - Vology"
