token,cnt,len
sony,274,4
carte,239,5
line,107,4
usb,1124,3
extreme,258,7
64,442,2
c10,22,3
1353969,2,7
128,425,3
sd,389,2
toshiba,187,7
sdhc,400,4
exceria,121,7
pro,257,3
gb,1908,2
silber,18,6
sandisk,647,7
sf32ux,1,6
m3.0,10,4
bis,33,3
de,240,2
micro,233,5
48,16,2
mb,501,2
brand,2,5
microsdhc,185,9
16,420,2
flair,17,5
speed,42,5
n101,13,4
memory,187,6
card,208,4
260,26,3
hd,25,2
thn,53,3
cruzer,100,6
glide,50,5
chiavetta,12,9
2.0,196,3
256,85,3
vault,18,5
adaptador,49,9
edge,17,4
pendrive,85,8
gb0,2,3
flash,358,5
uhs,548,3
red,13,3
jetzt,6,5
rescue,6,6
tarjeta,141,7
usm,9,3
memoria,295,7
stick,112,5
ezust,2,5
lexar,270,5
expert,12,6
memoire,113,7
intenso,124,7
scheda,48,6
ultra,322,5
w3,2,2
duo,10,3
280,5,3
mo,41,2
classe,103,6
10,433,2
ii,103,2
u3,203,2
pami,108,4
ci,91,2
alu,20,3
90,83,2
40,9,2
300,46,3
adapt,6,5
sdc4,8,4
blister,23,7
sf,20,2
m128,2,4
adapter,124,7
zu,48,2
kingston,233,8
sda3,8,4
sdxc,277,4
high,26,4
class,316,5
dual,82,4
3.1,111,3
drive,153,5
diverse,1,7
antracyt,4,8
3.0,326,3
cle,199,3
g2,29,2
101,18,3
45,18,2
canvas,33,6
32,537,2
product,3,7
xc,10,2
les,3,3
pam,16,3
ova,16,3
microsdxc,143,9
connectes,8,9
dans,51,4
fit,16,3
type,95,4
gen1,4,4
64go,33,4
sek,27,3
tesco,71,5
direct,63,6
jumpdrive,140,9
s70,15,3
burgundy,3,8
small,3,5
v30,59,3
unidad,20,6
en,45,2
fnac.es,68,7
shop,19,4
samsung,78,7
43,1,2
inch,2,4
smart,1,5
uhd,1,3
tv,2,2
black,56,5
online,23,6
egypt,27,5
95,92,2
gen,44,3
633x,53,4
traveler,14,8
pour,13,4
zilver,4,6
sony32,2,6
dt101,6,5
le,47,2
a1,27,2
color,24,5
bianco,10,6
premium,58,7
p20,26,3
4187407,4,7
file,4,4
amazon,7,6
con,48,3
memorie,14,7
externe,6,7
microsd,66,7
sdcz48,8,6
128g,6,4
gtv46,2,5
ab,28,2
inc,9,3
ljdv30,2,6
64gabeu,6,7
3502450,3,7
rainbow,22,7
blue,13,4
read,28,4
dtig4,10,5
100,54,3
recording,2,9
basic,21,5
schwarz,36,7
karta,85,5
adpater,2,7
3c,2,2
class10,18,7
green,8,5
otg,23,3
16go,27,4
usm16ca1,7,8
et,6,2
4190041,2,7
montres,7,7
bracelets,8,9
extrem,11,6
usm64sa3,2,8
lesen,18,5
5300056,2,7
blade,26,5
lecture,13,7
extra,4,5
32go,41,4
u1,32,2
avec,33,4
u302,11,4
standard,17,8
laufwerk,26,8
gn6ma,13,5
sec,38,3
serie,29,5
negro,42,5
rojo,15,4
vipdomo,1,7
512,28,3
hxsav,1,5
till,21,4
mobil,6,5
series,39,6
wit,3,3
nero,37,4
solid,2,5
28,2,2
fotoksi,6,7
amazon.de,4,9
digital,56,7
x300,4,4
achat,37,5
gr,2,2
rayon,53,5
anthrazit,5,9
3521451,1,7
4247892,3,7
packaging,7,9
90r,8,3
80w,6,3
sans,3,4
blau,10,4
galaxy,29,6
a20,2,3
sim,32,3
lte,36,3
allant,18,6
niebieski,4,9
hasta,24,5
cl.4,2,4
ljdp20,19,6
128crbeu,5,8
hyperx,19,6
savage,16,6
sda10,13,5
256gb,3,5
256go,5,5
state,4,5
jusqu,10,5
kamera,18,6
lectura,12,7
380,4,3
clase,76,5
flat,1,4
led,1,3
ua32n5000,1,9
data,14,4
g4,18,2
a10,12,3
2000x,4,5
cl-10,2,5
noir,33,4
cl,28,2
ius,2,3
n401,30,4
hc,17,2
94,20,2
uhs-1,25,5
tapa,3,4
c20,28,3
ljdc20,2,6
sdsdxve,2,7
plus,102,4
gelb,2,4
na,8,2
sdca3,8,5
ffp,11,3
android,21,7
300x,32,4
vitesse,19,7
jusqu'a,17,7
80,48,2
80mo,9,4
seconde,11,7
sdisk,2,5
sr16uxa,4,7
karty,17,5
sdcs,8,4
gris,6,4
ljds70,9,6
16gabeu,10,7
533x,2,4
da,13,2
tm,4,2
dt101g2,7,7
lila,3,4
pny,45,3
attache,27,7
weiss,9,5
vert,6,4
blanc,10,5
lecteur,33,7
evo,16,3
portatile,14,9
design,3,6
grey,7,4
pack,8,4
45r,4,3
10w,1,3
teal,7,4
erna,4,4
8go,12,3
silver,13,6
azul,8,4
penna,1,5
32gb-,2,5
1000x,19,5
sdcr,4,4
32gbsp,4,6
ram,12,3
incl,4,4
usm32gr,11,7
react,10,5
es,7,2
media,21,5
kli,4,3
rosso,5,5
29eur,4,5
abfoto,4,6
gzfma,4,5
150,32,3
erny,6,4
erveny,2,6
r95,8,3
foto,15,4
transcend,9,9
secure,36,6
storage,12,7
new,7,3
m401,9,4
blanco,8,6
tipo,14,4
usb3.0,16,6
s25,33,3
versand,12,7
violeta,2,7
etui,4,4
metal,6,5
argent,11,6
xqd,61,3
4224221,2,7
slim,3,4
minne,23,5
eacute,20,6
sous,21,4
u202,16,4
erste,2,5
n302,19,4
sf8n8,1,5
se9,10,3
fino,15,4
90mo,4,4
kovovy,1,6
white,17,5
aqua,5,4
ef,11,2
nand,6,4
cards,14,5
przeno,5,6
ne,5,2
rot,6,3
unita,18,5
cartm,2,5
cl10,18,4
wysokiej,8,8
jako,2,4
sr,6,2
uy3a,1,4
ktora,4,5
zosta,2,5
zapisu,4,6
zdj,6,3
obs,11,3
ugi,4,3
szybkich,2,8
trybow,2,6
seryjnych,2,9
oraz,2,4
lub,2,3
xavc,2,4
trakcie,2,7
urz,9,3
dze,2,3
takich,2,6
jak,2,3
np,2,2
smartfony,2,9
tablety,2,7
czy,4,3
kamery,2,6
sportowe,2,8
wytrzyma,2,8
obudowa,2,7
zapewnia,2,8
bezpiecze,2,9
stwo,2,4
danych,4,6
odporno,2,7
wstrz,2,5
sy,2,2
kurz,2,4
py,2,2
wilgo,2,5
skrajne,2,7
szybki,2,6
odczyt,2,6
wynosz,2,6
cy,2,2
pozwala,2,7
swobodn,2,7
prac,2,4
cyfrowej,2,8
ciemni,2,6
studiu,2,6
monta,2,5
owym,2,4
aparatami,2,9
cyfrowymi,2,9
kamerami,2,8
zestawie,2,8
adapterem,2,9
umo,2,3
liwiaj,2,6
cym,2,3
atwe,2,4
przes,2,5
anie,2,4
komputera,2,9
sdc10g2,7,7
w90,4,3
4110331,2,7
tos,2,3
128gb,3,5
4110315,2,7
c20c,11,4
ljds25,15,6
violet,1,6
32gcrbeu,14,8
eco,2,3
friendly,2,8
dti,5,3
photo,12,5
story,2,5
newest,2,6
pen,6,3
usb-2.0,1,7
uz,4,2
platinum,2,8
ultimate,13,8
ex,3,2
demo,2,4
98,4,2
karte,14,5
version,8,7
bleu,9,4
4k,4,2
camera,4,6
einfach,2,7
classe10,1,8
verde,11,5
lesegerat,2,9
sf32ux2,4,7
-20,2,3
grigio,2,6
hi,2,2
klasse,5,6
usm64gqx,4,8
jaune,2,5
hxs3,4,4
uhs1,2,4
usm32gqx,11,8
r94,4,3
75,3,2
3533492,4,7
capacity,13,8
gwarantuj,7,9
minimaln,7,8
szybko,7,6
transferu,9,9
tylko,7,5
dzeniami,7,8
uguj,7,4
cymi,7,4
obj,7,3
ta,7,2
wieczyst,7,8
gwarancj,7,8
sdhctm,2,6
lettura,8,7
22,4,2
50,12,2
meta,6,4
-i,7,2
light,4,5
sds,6,3
bei,18,3
dt50,10,4
plateado,5,8
photos,6,6
quot,16,4
100r,4,4
90w,9,3
velocita,11,8
j4,3,2
173420,2,6
marca,5,5
a2,8,2
extended,3,8
a11,3,3
amazon.es,11,9
machqx,3,6
innymi,2,6
275,10,3
gbsp,2,4
p6,4,2
d'action,2,8
di,44,2
3534490,6,7
style,12,5
anschluss,1,9
typ,4,3
kappe,1,5
zielony,2,7
r440,6,4
w400,4,4
-64,1,3
plata,8,5
msd,8,3
ljdc20c,2,7
select,19,6
video,8,5
violett,2,7
classic,2,7
wex,7,3
x1000,4,5
sf16u,2,5
60,5,2
z35,2,3
rouge,6,5
g1ux2a,3,6
10da,2,4
interface,5,9
128go,11,5
free,6,4
ideale,2,6
sdcz80,2,6
064g,6,4
x46,3,3
4246500,2,7
essence,4,7
cx64uhs1,1,8
mit,10,3
40z,2,3
bestellen,6,9
key,4,3
yr,2,2
wrnty,2,5
cles,28,4
v10,4,3
fp,1,2
niki,5,4
4169425,1,7
sdcz73,4,6
g46,13,3
adaptor,5,7
g4a,2,3
n1,2,2
model,3,5
tarjetas,7,8
w70,4,3
45w,2,3
fd128att4,4,9
ndeg282,2,7
microusb,7,8
b35a,3,4
m302,7,4
fernseher,2,9
1400x,7,5
sfg1,2,4
gncin,10,5
tablets,2,7
head.js,2,7
common2,2,7
js,2,2
libs,2,4
jquery,2,6
cz80,2,4
extr,1,4
usb3,2,4
1396994,1,7
mobile,6,6
-50,6,3
200,2,3
cartes,4,6
4115945,2,7
sf8u,8,4
sddd2,2,5
032g,9,4
sdcz880,2,7
256g,4,4
gzfin,4,5
cruzerfit,2,9
aacute,8,6
rtya,8,4
3503470,12,7
sf16n4,5,6
c1,4,2
4219864,2,7
sdcz51,2,6
b35,10,3
isolation,2,9
ssd,8,3
fialovy,2,7
sehr,2,4
droni,2,5
95r,5,3
1173370,2,7
original,5,8
microduo,8,8
32gabeu,8,7
8gb-,2,4
130,10,3
285,2,3
180,2,3
schreiben,1,9
der,2,3
deballer,3,8
hx,6,2
600x,4,4
ipec,3,4
discount,3,8
usm16we3,2,8
angelis,15,7
lecteurs,3,8
kort,12,4
1xuhs,2,5
lexj4,2,5
4110277,2,7
558j683,1,7
gut,3,3
440,4,3
400,4,3
mbps,2,4
usbllave,1,8
adap,2,4
sg,2,2
plnou,2,5
usm128gqx,3,9
usm16sa3,2,8
4116020,4,7
externa,2,7
r130,2,4
139700,2,6
2933x,4,5
highuhs,1,7
multi,4,5
ux,6,2
nuevo,5,5
argento,8,7
d90,2,3
usm32gxb,2,8
aplikacja,4,9
usm16gxw,2,8
aluminium,6,9
antracite,2,9
vie,6,3
ext,4,3
v2,1,2
4144520,1,7
sdcg2,4,5
1867x,2,5
sd4,2,3
solo,4,4
body,2,4
kingsto,2,7
mercado,4,7
actual,2,6
g1uya,1,5
ipx7,1,4
fd8gbatt4,2,9
fantaisie,2,9
originale,2,9
pas,5,3
cher,3,4
verbatim,3,8
emtec,4,5
lego,2,4
clef,13,4
windows,7,7
clefs,1,5
clee,1,4
chere,1,5
emetec,1,6
corsair,1,7
cheres,1,6
giga,1,4
stockage,3,8
cleusb,1,6
meilleur,1,8
disk,4,4
meilleure,1,9
integral,1,8
rapide,1,6
pc,1,2
petite,1,6
capacite,1,8
velocidad,12,9
prueba,3,6
rayos,3,5
iso,3,3
7816,3,4
ac,2,2
sek.ffp,1,7
cs,2,2
flashdisk,3,9
zwart,5,5
zone,2,4
r90,4,3
uii,2,3
cl.10,2,5
telephone,2,9
uhs-2,2,5
llave,2,5
reg,8,3
connector,4,9
drives,3,6
25,4,2
slide,2,5
imaging,2,7
kupon,5,5
1198491,2,7
usb2.0,8,6
139790,2,6
blu,5,3
action,2,6
sdcac,3,5
139717,2,6
usm32gxw,2,8
emballage,5,9
inkl,5,4
sfg1u,2,5
sports,2,6
gn6in,3,5
hc2,2,3
ma,2,2
ymi,2,3
doble,1,5
sdddc2,3,6
usm-8x,4,6
viola,2,5
games,4,5
sdcz60,7,6
016g,3,4
attach,6,6
trade,1,5
vitesses,1,8
incluido,2,8
formatted,2,9
warenkorb,2,9
usb3.1,2,6
173449,2,6
cable,2,5
rosa,5,4
grade,2,5
preis,5,5
morado,1,6
paquete,1,7
abrefacil,1,9
dtduo3,3,6
sr64uya,2,7
disque,7,6
dur,7,3
sl,2,2
seu,1,3
can985,2,6
dd2.5,1,5
tb,1,2
compact,4,7
173338,1,6
class4,4,6
210,3,3
x633,2,4
299,6,3
polecana,2,8
4070526,2,7
cameras,4,7
mauve,2,5
s'enerver,1,9
kaart,3,5
water,1,5
resistant,1,9
ray,2,3
proof,1,5
jewel,1,5
case,2,4
whi,1,3
4go,3,3
w299,4,4
s10,5,3
prism,3,5
gopro,7,5
ush,4,3
15,3,2
met,7,3
x64uhs1,1,7
512go,2,5
sdhc8go,1,7
820,1,3
a50,4,3
139756,2,6
shooting,2,8
mg16e,1,5
eu,3,2
pro128,2,6
ea,3,2
bia,1,3
cruizer,1,7
usmsa3,2,6
einfangen,2,9
a70,2,3
warto,4,5
para,2,4
70w,2,3
u202w,3,5
logiciel,2,8
ree,2,3
sr-16uy3,2,8
139769,2,6
kit,9,3
bit,2,3
r300,2,4
wahl,2,4
produkty,3,8
device,1,6
32gb,2,4
blanche,3,7
wi,2,2
ksze,2,4
usm32sa3,2,8
dtse9g2,3,7
usm64gxp,2,8
seule,4,5
mpe,4,3
usm-16ca1,1,9
sr16uya,4,7
cz600,1,5
sdcz600,2,7
032,1,3
jump,1,4
fba,1,3
g35,1,3
bleue,1,5
4194551,2,7
240,4,3
msdxc,2,5
ocean,2,5
mobiles,2,7
160r,2,4
noire,2,5
140,2,3
actioncam,4,9
t3,1,2
1to,1,3
250,4,3
2018,3,4
220,1,3
hdsl1,1,5
1000,1,4
disco,1,5
rigido,1,6
esterno,1,7
3521491,4,7
x1400,3,5
8gb,3,3
30,2,2
verte,1,5
sf64u,2,5
sf16ux,3,6
orange,3,6
350,4,3
scrittura,1,9
1409913,2,7
1382993,2,7
cam,2,3
arancione,1,9
sfg1ux2,2,7
r400,2,4
cx32uhs1,1,8
4169409,1,7
mem,4,3
oacute,4,6
ria,2,3
reader,7,6
rme,1,3
4236440,1,7
sf-8ux,2,6
seg,2,3
mbit,3,4
ipad,2,4
4194543,2,7
jumdrive,2,8
lector,2,6
degc,4,4
dorado,2,6
mbs,2,3
riak,2,4
3502470,3,7
sddd3,2,5
miniprice,2,9
size,3,4
grau,2,4
gen2,2,4
czerwony,1,8
srg1uxa,3,7
portable,1,8
conector,4,8
najwy,2,5
szej,2,4
a30,3,3
label,1,5
change,1,6
computer,3,8
mass,1,4
gig,1,3
scandisk,1,8
sdsdb,1,5
sdsdb8192,1,9
8192,1,4
8192e,1,5
8192e11,1,7
e11,1,3
ge,2,2
link,1,4
16gbsp,1,6
single,2,6
3534460,3,7
dtduo3c,1,7
program,2,7
usm16gr,2,7
95mbs,1,5
bulk,1,4
mini,1,4
speicher,1,8
incluye,2,7
633x-95,2,7
obrazow,2,7
101g2,1,5
pte,1,3
gunstig,1,7
und,5,3
stock,1,5
gunstiger,1,9
leistung,2,8
ist,1,3
nicht,1,5
topen,1,5
neu,1,3
dvd,1,3
disc,1,4
apple,1,5
guter,2,5
u002f,1,5
massige,1,7
fur,3,3
wenig,1,5
geld,1,4
handliche,1,9
daten,2,5
bewerten,1,8
sie,1,3
dieses,1,6
produkt,1,7
titel,2,5
vielen,1,6
dank,1,4
zubehor,1,7
lieferung,1,9
abholung,1,8
3530460,1,7
purple,5,6
turquoise,1,9
ancm3,2,5
b3,2,2
note9,1,5
midnight,2,8
electric,2,8
sdsquar,2,7
95mb,1,4
prime,3,5
sl1,2,3
czarny,3,6
mvt608,1,6
grand,1,5
1.5,1,3
95mo,2,4
mach,2,4
60mbs,4,5
sa3,2,3
deluxe,2,6
nera,4,4
mc16d,1,5
3521472,2,7
173473,2,6
bl8,1,3
attache4,1,8
custom,2,6
m64,2,3
r15,2,3
essential,2,9
sdcit,2,5
usb-,1,4
g2ux2,2,5
usm16gxl,1,8
w350,2,4
usm64we3,2,8
170,2,3
class6,1,6
32gasbeu,2,8
grun,2,4
74.18,2,5
mc128d,2,6
retail,1,6
2p,2,2
naranja,2,7
4225090,1,7
capturer,2,8
uhsii,1,5
grigia,1,6
usm64gr,2,7
226,6,3
sr-32uya,2,8
midi,2,4
dorr,2,4
minimum,2,7
note,1,4
ca1,1,3
st,1,2
ibrny,1,5
uam46,2,5
solido,2,6
sarcelle,1,8
ljdv10,2,6
32gabe,2,6
-argent,2,7
win,1,3
mac,1,3
calidad,1,7
24,2,2
mm,2,2
u201,1,4
128gbsp,2,7
4247906,1,7
alta,2,4
v3,2,2
94mbbs,1,6
pink,4,4
j6,1,2
drones,1,6
32768,1,5
cz48,2,4
70mb,1,4
bewegung,2,8
blauw,4,5
infopavon,1,9
nmarca,1,6
sr-8a4,1,6
4194527,1,7
included,1,8
4187369,2,7
173336,1,6
te,2,2
ka,2,2
a7,1,2
gold,1,4
a46,2,3
5ywarr,1,6
400x,2,4
rdr,2,3
usm4gmp,1,7
ufm,1,3
deslizar,2,8
usm32we,2,7
clase10,2,7
ux2a,1,4
gm,1,2
stylish,1,7
tablet,1,6
usm4gr,2,6
core,1,4
20,2,2
amp,1,3
139768,2,6
grise,1,5
capacita,2,8
massima,2,7
vergini,2,7
hayabusa,1,8
usm8gqx,1,7
35,1,2
home,3,4
8.1,1,3
vista,1,5
xp,1,2
class-10,1,8
4096,1,4
vit,1,3
245,1,3
558m462,1,7
